"","taxa","rank","trait","size","age","dic.bm","dicw.bm","m.pic.mcmc.bm","v.pic.mcmc.bm","s.var.mcmc.bm","s.anc.mcmc.bm","s.hgt.mcmc.bm","d.ks.mcmc.bm","mv.mcmc.bm","dic.ou","dicw.ou","m.pic.mcmc.ou","v.pic.mcmc.ou","s.var.mcmc.ou","s.anc.mcmc.ou","s.hgt.mcmc.ou","d.ks.mcmc.ou","mv.mcmc.ou","dic.eb","dicw.eb","m.pic.mcmc.eb","v.pic.mcmc.eb","s.var.mcmc.eb","s.anc.mcmc.eb","s.hgt.mcmc.eb","d.ks.mcmc.eb","mv.mcmc.eb"
"170","random","timeslice","seedmass",32,42.246731,41.6297080730182,0.106164825907811,0.056,0.77,0.566,0.604,0.8,0.372,5.17267205475993,37.5975055559609,0.797190846598852,0.06,0.754,0.166,0.464,0.536,0.282,7.41209384089362,41.8176187432112,0.0966443274933372,0.02,0.926,0.48,0.724,0.584,0.384,5.74212865541351
"171","random","timeslice","seedmass",66,29.693175,159.913846345685,1.70311902153413e-06,0.036,0,0.02,0,0.04,0.076,136.964387916886,133.347752252707,0.999997777098479,0.234,0,0.006,0.006,0.752,0.178,51.6850455581124,162.287458575066,5.197824989694e-07,0.016,0,0.022,0,0.048,0.054,139.670096957553
"172","random","timeslice","seedmass",21,35.832903,64.334726541446,0.00299677513122358,0.418,0.094,0.17,0.324,0.216,0.69,7.83280473668175,52.7226673695921,0.995819822540638,0.594,0.228,0.252,0.802,0.676,0.866,4.20195359084127,66.193012812727,0.00118340232813881,0.358,0.068,0.116,0.244,0.12,0.756,9.19693067950632
"173","random","timeslice","seedmass",23,31.224082,34.4516752861063,0.0251924659056388,0.09,0.628,0.23,0.296,0.308,0.374,6.37049717649069,27.176726605425,0.957206664168585,0.162,0.236,0.354,0.716,0.866,0.146,7.23058643357645,35.168868584895,0.0176008699257764,0.09,0.836,0.194,0.15,0.324,0.432,6.37369416798699
"174","random","timeslice","seedmass",30,32.072646,73.6000192655295,5.43228199527239e-05,0.15,0.026,0.102,0.002,0.064,0.998,34.7759925642418,53.9590392272417,0.999923859691356,0.288,0.324,0.752,0.048,0.578,0.724,7.6081970073002,75.4244842933326,2.18174886910327e-05,0.176,0.014,0.044,0,0.034,0.83,38.9083590279701
"175","random","timeslice","seedmass",103,35.102438,322.945782158629,0.00264536553846288,0.032,0.004,0,0.016,0.034,0.152,39.2198873054303,311.082897209067,0.996502581622451,0.242,0.002,0.002,0.316,0.982,0.07,49.8495563376502,325.211614142484,0.000852052839086266,0.028,0.002,0.004,0.008,0.038,0.13,44.0136511396844
"176","random","timeslice","seedmass",208,39.545626,477.118946897977,4.61325300347779e-10,0,0,0.002,0.834,0,0.062,54.5736511926738,434.125111536973,0.99999999939031,0.008,0,0.006,0.804,0.408,0.04,62.0316414679188,479.387803065909,1.48364984717076e-10,0,0,0.004,0.778,0.002,0.054,52.1459075780147
"177","random","timeslice","seedmass",231,34.754919,513.755528420105,4.1421897196794e-16,0,0,0.002,0,0,0.12,112.120889171957,442.915254575908,0.999999999999999,0.008,0,0.002,0.012,0.418,0.446,47.9965151004974,515.486727254108,1.74303029755429e-16,0,0,0,0,0,0.142,115.381864316241
"178","random","timeslice","seedmass",21,36.874084,47.063853678985,0.00295252841700007,0.22,0.04,0.078,0.006,0.144,0.668,25.180602554027,35.4224420991997,0.995622016112588,0.27,0.33,0.176,0.084,0.6,0.638,12.5808085419489,48.5201946845021,0.00142545547041159,0.198,0.012,0.076,0,0.13,0.9,39.7256524917355
"179","random","timeslice","seedmass",45,42.020694,158.004543495982,1.47344736722036e-12,0.066,0.016,0.002,0,0.016,0.19,72.1002499904861,103.517710870113,0.999999999998059,0.316,0.476,0.028,0.312,0.116,0.082,13.9848555862456,160.299533939943,4.67717677178011e-13,0.056,0.014,0,0,0.01,0.186,87.2466443854835
"180","random","timeslice","seedmass",144,41.80797,192.96729994623,0.10289069197827,0,0,0.04,0.038,0.008,0.564,45.6690071024265,211.79485603161,8.39506823102177e-06,0.008,0,0.344,0.038,0,0.14,75.4744292156487,188.636297597323,0.897100912953499,0,0,0.436,0.016,0.51,0.622,37.392725614957
"181","random","timeslice","seedmass",26,42.070929,63.1988147703831,0.391761230073263,0.234,0.562,0.426,0.058,0.56,0.208,8.7604760495635,64.1653238836583,0.241627670717003,0.542,0.1,0.02,0.344,0.332,0.844,13.9592536512135,63.331516642842,0.366611099209734,0.24,0.334,0.3,0.042,0.45,0.338,10.608668438666
"182","random","timeslice","seedmass",42,30.653324,75.2906525105279,0.567362853548968,0.058,0.582,0.882,0.728,0.644,0.466,6.20295653946051,96.3187236097396,1.54054105444343e-05,0.486,0,0.006,0.902,0.43,0.194,50.1620260114702,75.8329230774405,0.432621741040487,0.036,0.674,0.65,0.798,0.95,0.48,6.73849187155588
"183","random","timeslice","seedmass",52,34.954369,44.9566145142082,0.0907924753800549,0.002,0.058,0.916,0.108,0.294,0.792,16.1517698461554,50.9583442981948,0.00451638330557413,0.012,0.002,0.036,0.378,0.41,0.67,19.7144649803018,40.3585801277576,0.904691141314371,0.002,0.066,0.924,0.11,0.624,0.998,15.1448921470001
"184","random","timeslice","seedmass",83,38.887363,114.132094431166,0.463598279005162,0.002,0.472,0.224,0.046,0.358,0.032,18.9193121711296,122.869109381766,0.0058738536871893,0.042,0.032,0.842,0.17,0,0.02,33.0655804048932,113.862386255716,0.530527867307648,0.002,0.436,0.502,0.036,0.802,0.034,20.7312535171244
"185","random","timeslice","seedmass",22,30.857744,44.7782134369436,0.304476601576788,0.284,0.784,0.708,0.09,0.838,0.57,6.26993537369188,43.9641555958958,0.45742967754143,0.434,0.496,0.43,0.314,0.098,0.538,5.66241835863455,45.2700731583617,0.238093720881783,0.236,0.432,0.742,0.062,0.498,0.774,9.37355116690068
"186","random","timeslice","seedmass",85,28.571073,160.700289437139,0.68090185846585,0,0,0.398,0.176,0.142,0.592,31.1816957849712,167.92442684429,0.0183815873912218,0.074,0,0.022,0.182,0.074,0.088,84.8897429019592,162.334789519959,0.300716554142928,0.006,0,0.382,0.134,0.264,0.648,33.4532793218393
"187","random","timeslice","seedmass",21,17.872609,29.8622595050966,0.544311085078403,0.088,0.264,0.792,0.232,0.446,0.866,6.64628183560812,31.5419441967595,0.235021872704821,0.254,0.684,0.032,0.35,0.864,0.662,8.93342268621913,31.6679914287523,0.220667042216777,0.058,0.244,0.978,0.238,0.88,0.758,7.13131174080371
"188","random","timeslice","seedmass",30,42.806317,26.1292804817092,0.152879205123985,0.016,0.006,0.57,0.096,0.586,0.322,20.2298786232787,23.4755837896177,0.576223984229424,0.014,0.002,0.462,0.262,0.586,0.16,22.4291722244966,24.985100731163,0.270896810646591,0.006,0.002,0.356,0.094,0.464,0.374,21.0793018517995
"189","random","timeslice","seedmass",33,40.078958,45.0922569184106,0.251065712500329,0.094,0.044,0.108,0.048,0.218,0.334,17.2281851435261,68.9436919939977,1.66155257074754e-06,0.406,0,0.05,0.232,0.25,0.134,50.758652811681,42.9063882787962,0.7489326259471,0.042,0.042,0.766,0.016,0.914,0.274,20.100005498183
"190","random","timeslice","seedmass",32,33.640182,52.9594098929204,0.349668193879343,0.188,0.004,0.14,0,0.078,0.416,56.1440054074383,65.3205374641533,0.000723554723729508,0.392,0,0.124,0,0.266,0.142,69.8982818553447,51.7206402855258,0.649608251396927,0.046,0.026,0.484,0.002,0.508,0.662,51.5639379207281
"191","random","timeslice","seedmass",25,33.018108,62.8229967033581,0.500021962884035,0.512,0.008,0.762,0.094,0.836,0.94,14.6245350240442,66.4174850335082,0.0828811669287226,0.688,0,0.606,0.604,0.038,0.398,23.7383918469715,63.1856637549532,0.417096870187243,0.588,0.004,0.82,0.03,0.674,0.892,18.251622464901
"192","random","timeslice","seedmass",52,31.011872,98.2337291037194,0.415610768914995,0.054,0.032,0.774,0.312,0.668,0.356,13.2704801500553,98.2488865769092,0.412472870045236,0.216,0.006,0.21,0.706,0.182,0.134,20.6853255054354,99.9992112739186,0.171916361039769,0.026,0.01,0.58,0.384,0.524,0.428,14.1718974358388
"193","random","timeslice","seedmass",79,36.618746,109.753078636884,0.527619977282229,0.002,0.016,0.966,0.01,0.884,0.992,23.3181265235761,113.215354822049,0.0934324011057691,0.048,0.004,0.39,0.076,0.01,0.232,34.4333611624782,110.41503521807,0.378947621612002,0,0.016,0.73,0.004,0.638,0.776,25.0289015277251
"194","random","timeslice","seedmass",70,40.409993,84.3249564090585,0.0111548285295157,0,0.934,0.144,0.026,0.292,0.844,18.7561742384186,75.3698697205734,0.981827666295669,0.002,0.19,0.074,0.384,0.688,0.93,16.6569605886336,85.2518857880009,0.00701750517481571,0,0.948,0.16,0.018,0.276,0.904,22.4918450627146
"195","random","timeslice","seedmass",21,24.31054,43.0983988595506,0.00648964495028135,0.552,0,0.37,0.436,0.022,0.188,66.5447587865184,59.4619470233256,1.81518795552015e-06,0.734,0,0.014,0.758,0.316,0.012,118.113696035059,33.0363291882146,0.993508539861763,0.426,0,0.51,0.468,0.462,0.254,52.2519379851397
"196","random","timeslice","seedmass",95,40.509863,96.8380669967319,0.113875875941511,0,0,0.81,0.414,0.322,0.11,47.8246979799731,112.434874473674,4.67334689658667e-05,0.018,0,0.07,0.412,0.116,0.032,118.529647943019,92.7346765019254,0.886077390589524,0,0,0.802,0.302,0.87,0.162,36.4247086461679
"197","random","timeslice","seedmass",45,42.80679,73.9951272819862,0.509875391212931,0.032,0.002,0.856,0.024,0.97,0.076,32.8849638363003,76.7994536769563,0.125462030555927,0.226,0,0.056,0.15,0.17,0.076,47.9997955665789,74.6655150461676,0.364662578231142,0.012,0.002,0.92,0.014,0.776,0.092,32.1371572583445
"198","random","timeslice","seedmass",41,37.545985,101.0841465685,0.116481607782606,0.16,0,0.578,0,0.548,0.056,83.4645967268844,97.1294013133115,0.84143268386663,0.468,0,0.042,0.002,0.7,0.058,70.5937783499079,103.120196915458,0.0420857083507638,0.134,0,0.496,0,0.494,0.088,84.0001116668762
"199","random","timeslice","seedmass",44,39.731377,16.39968823056,0.279996332217802,0,0.066,0.894,0.416,0.184,0.426,17.4166915653361,34.9420556622236,2.63468327102095e-05,0.014,0,0.038,0.618,0.124,0.086,42.062745272198,14.5108018126171,0.719977320949488,0,0.084,0.996,0.354,0.612,0.602,17.0569775961534
"200","random","timeslice","seedmass",35,16.66976,22.4922617592149,0.0170840484890219,0,0.342,0.786,0.004,0.87,0.61,21.1739355708287,14.4152276114121,0.969385402629105,0,0.79,0.396,0.014,0.28,0.374,15.2173484179589,22.9586521234556,0.0135305488818736,0.002,0.228,0.63,0.002,0.636,0.644,25.953319281764
"201","random","timeslice","seedmass",36,42.552444,42.1647993887844,0.000188369850210354,0.002,0.782,0.776,0.57,0.252,0.116,8.74306356751812,25.0113623261684,0.999615365939782,0.002,0.586,0.852,0.766,0.85,0.13,8.69251858967137,42.0826905025488,0.000196264210007591,0.006,0.648,0.584,0.594,0.236,0.124,9.99190880628051
"202","random","timeslice","seedmass",124,39.129593,245.031033502579,0.0213732498172312,0,0.292,0.094,0.902,0.118,0.198,17.6596807740366,237.398115822515,0.971264636774966,0.026,0.014,0.032,0.838,0.21,0.468,30.0342915926346,247.162619687087,0.00736211340780322,0,0.246,0.092,0.908,0.116,0.168,19.6651646851239
"203","random","timeslice","seedmass",41,39.032311,109.861910594704,0.00029773374048463,0.076,0.924,0.068,0.4,0.118,0.808,8.43381426221845,93.6240944581979,0.99959719023855,0.406,0.556,0.776,0.926,0.6,0.91,2.67488975545953,111.944941597539,0.000105076020965289,0.084,0.744,0.032,0.326,0.098,0.908,9.14221865143364
"204","random","timeslice","seedmass",320,42.10075,436.877439370933,4.44945228920062e-07,0,0,0.048,0.782,0.164,0.024,79.550322673897,407.626811279466,0.999999402300229,0,0,0.19,0.068,0.112,0.034,108.762516759087,439.015677092358,1.52754542050379e-07,0,0,0.038,0.89,0.144,0.026,95.0175348541841
"205","random","timeslice","seedmass",42,29.949549,86.2991010170284,0.331265145651818,0.25,0.022,0.248,0.154,0.412,0.658,14.0990625390451,99.3499101022628,0.000485543962855585,0.548,0,0.126,0.402,0.012,0.376,33.8724978457341,84.8956165688889,0.668249310385327,0.184,0.016,0.812,0.072,0.954,0.888,15.4997550843103
"206","random","timeslice","seedmass",145,42.396557,161.652595458839,0.528213032484691,0,0,0.388,0.078,0.476,0.28,66.1595632326104,163.820383175418,0.178681664979298,0,0,0.032,0.098,0.008,0.246,93.2267670894342,162.830530927194,0.29310530253601,0,0,0.34,0.072,0.72,0.274,66.7869688516889
"207","random","timeslice","seedmass",22,39.890783,30.3164614190018,0.0151653278949422,0.048,0.032,0.794,0.036,0.672,0.192,17.1448995118552,21.9854347047754,0.977037583763461,0.082,0.08,0.398,0.166,0.72,0.146,12.2148345721976,31.6469841955274,0.00779708834159658,0.028,0.026,0.966,0.038,0.586,0.172,22.6468070524733
"208","random","timeslice","seedmass",26,38.609972,59.5486092173467,0.62557414885198,0.27,0.504,0.806,0.164,0.774,0.196,5.51992015298446,72.7122061498892,0.000866642611435808,0.678,0.004,0.02,0.642,0.362,0.426,23.8725524301341,60.5797959186976,0.373559208536584,0.214,0.414,0.548,0.146,0.546,0.272,6.13284931197569
"209","random","timeslice","seedmass",48,41.384927,31.6939915067513,0.0465778508369236,0.002,0.838,0.318,0.748,0.798,0.712,10.8087234297652,26.2169330661535,0.720290313912854,0,0.316,0.054,0.566,0.382,0.728,13.2576553653497,28.4730335350188,0.233131835250222,0,0.812,0.324,0.676,0.57,0.76,11.3202377730046
"210","random","timeslice","seedmass",558,41.735587,913.764938590904,3.04152174883937e-10,0,0,0,0,0.162,0,339.765625244674,869.937952662739,0.999999999590198,0,0,0,0,0.1,0,320.65073478343,915.87972776168,1.05650192493052e-10,0,0,0.002,0,0.11,0.004,326.58762966993
"211","random","timeslice","seedmass",21,27.653279,46.180245840119,0.557573755804,0.31,0.69,0.866,0.15,0.856,0.83,4.4221004810239,48.9419558385731,0.140153716147846,0.598,0.876,0.092,0.774,0.088,0.07,12.416873978946,47.404777381694,0.302272528048154,0.27,0.932,0.512,0.062,0.664,0.754,6.64263947046041
"212","random","timeslice","seedmass",62,35.34377,65.8582442475445,0.265405960772082,0.006,0.538,0.938,0.358,0.548,0.704,10.0567540540382,71.9495134239548,0.0126243311181722,0.014,0.15,0.162,0.502,0.168,0.43,13.8383934366653,63.8567990450209,0.721969708109745,0.002,0.662,0.784,0.516,0.998,0.836,10.5446442328665
"213","random","timeslice","seedmass",30,42.54845,42.6378365909395,0.324975069210612,0.178,0.354,0.872,0.494,0.082,0.37,14.9901125352569,64.8675149348437,4.8387894523598e-06,0.462,0,0.004,0.476,0.098,0.678,37.460534707811,41.1758486167611,0.675020091999936,0.088,0.718,0.796,0.414,0.682,0.336,12.3083058438814
"214","random","timeslice","seedmass",72,42.783636,275.786856469811,8.36415779762538e-12,0.22,0,0,0.148,0,0.146,62.9417319454419,224.772725533327,0.999999999988971,0.58,0.002,0.226,0.808,0.54,0.5,19.6534184181074,278.074909374872,2.66426759217072e-12,0.152,0,0,0.144,0.004,0.12,74.8909508890698
"215","random","timeslice","seedmass",50,36.409959,104.607854812631,0.115532973144759,0.022,0.174,0.668,0.102,0.734,0.846,9.54927110290295,100.671122162929,0.827097261596851,0.222,0.028,0.502,0.2,0.06,0.712,18.1362836998579,106.007931900832,0.0573697652583893,0.02,0.126,0.43,0.08,0.464,0.842,11.5616883294289
"216","random","timeslice","seedmass",129,36.671933,203.342656915972,0.000393144569094483,0,0.1,0.342,0.134,0.296,0.634,18.5641782964867,187.66109173727,0.999449587435852,0.002,0.014,0.09,0.658,0.078,0.282,28.376988256041,205.175109075036,0.000157267995053375,0,0.064,0.252,0.098,0.204,0.578,22.8685590865513
"217","random","timeslice","seedmass",170,38.449259,389.233054097791,6.84361808235909e-17,0,0.002,0.054,0,0.01,0.16,61.9513069673767,314.791794038381,1,0.008,0.002,0.002,0.504,0.984,0.012,34.9697304212356,391.537526467398,2.16210085354104e-17,0,0.01,0.05,0,0.018,0.164,60.0880009977486
"218","random","timeslice","seedmass",68,35.041548,83.119285337293,0.000975538332779726,0.036,0,0.594,0.05,0,0.02,59.4007170431026,113.150799484591,2.93754075418186e-10,0.234,0,0.036,0.066,0,0.002,112.38769913404,69.2561951605347,0.999024461373466,0,0.08,0.184,0.016,0.248,0.082,31.6025999033239
"219","random","timeslice","seedmass",24,28.70261,65.7743271916203,0.00304374107009463,0.274,0.064,0.334,0.572,0.294,0.408,7.95440817712086,54.193420134746,0.995794491472414,0.598,0.884,0.186,0.724,0.45,0.29,5.33442470152438,67.7006169080866,0.00116176745749117,0.268,0.042,0.172,0.5,0.16,0.368,10.9173972395647
"220","random","timeslice","seedmass",52,42.583811,66.8657194053935,0.185535600661548,0.01,0.27,0.93,0.154,0.738,0.788,9.11742478738985,69.6937366446483,0.0451160546148272,0.064,0.018,0.086,0.466,0.368,0.83,14.3727932416735,64.0211252653363,0.769348344723625,0.008,0.238,0.738,0.1,0.862,0.968,10.9373085547604
"221","random","timeslice","seedmass",27,37.256421,40.9850056644583,0.0261382063278665,0.03,0.094,0.756,0.38,0.638,0.272,9.73874873867588,33.7864465028182,0.955923289528662,0.088,0.068,0.65,0.846,0.892,0.088,10.195921160155,41.7379028961706,0.0179385041434719,0.044,0.078,0.576,0.216,0.552,0.25,12.1489833504187
"222","random","timeslice","seedmass",108,32.572183,202.528462598719,7.52703001855988e-11,0,0.11,0.026,0.002,0.036,0.336,33.3420556715832,155.908591641381,0.9999999998965,0.002,0.122,0.104,0.344,0.604,0.726,15.8616941790084,204.489902865935,2.82294427815016e-11,0,0.106,0.028,0.006,0.04,0.366,34.0580575976521
"223","random","timeslice","seedmass",71,36.460101,162.904250321351,0.00258515544157514,0.032,0.086,0.006,0.022,0.014,0.844,24.830345684687,150.99538638093,0.996468579702109,0.234,0.006,0.002,0.162,0.946,0.668,25.7448099676339,164.914287146235,0.000946264856315736,0.022,0.082,0.002,0.01,0.01,0.796,25.7977580382194
"224","random","timeslice","seedmass",22,31.329019,51.4382581147395,0.00146862415770405,0.124,0.008,0.972,0,0.988,0.802,34.064866722993,38.3958292147233,0.997787637294363,0.324,0.152,0.466,0.116,0.806,0.662,6.42093231812012,52.7990415854527,0.000743738547932958,0.146,0,0.814,0,0.9,0.578,41.2879836746133
"225","random","timeslice","seedmass",29,40.812816,20.9901540220358,0.105312722349116,0,0.734,0.164,0.494,0.714,0.858,7.38832956406373,17.2997523267088,0.66656328045796,0.008,0.536,0.098,0.532,0.698,0.926,8.33806706012887,19.4442438288576,0.228123997192924,0.004,0.608,0.256,0.358,0.582,0.838,7.69560372928336
"226","random","timeslice","seedmass",172,40.509516,154.505112257686,0.0826854612348903,0,0.93,0.476,0.368,0.97,0.102,28.7501127854165,149.757996037804,0.887671635926324,0,0.25,0.042,0.666,0.046,0.074,37.6005785634797,156.556754363966,0.0296429028387858,0,0.98,0.408,0.278,0.872,0.102,32.6959759200532
"227","random","timeslice","seedmass",100,40.064318,119.551674961346,0.427223853535869,0,0.026,0.754,0.082,0.546,0.146,25.9553705268894,120.164002522443,0.314550407799011,0.002,0,0.006,0.398,0.362,0.014,41.6820130001979,120.558622890504,0.25822573866512,0,0.01,0.68,0.038,0.822,0.154,32.7460846305529
"228","random","timeslice","seedmass",1022,42.999201,1998.61343841549,1.41177982416459e-57,0,0,0,0,0,0.002,334.010696510965,1736.8084402042,1,0,0,0,0.368,0.604,0,344.243118593231,2000.7243201984,4.91354362095245e-58,0,0,0,0,0,0.002,335.264332585675
"229","random","timeslice","seedmass",53,40.03948,59.5262853884398,0.108030807962794,0.008,0.226,0.408,0.524,0.608,0.026,14.1131883070282,60.724565103998,0.0593395830025884,0.062,0.058,0.098,0.666,0.084,0.016,22.0706727357622,55.4419404866311,0.832629609034618,0.006,0.202,0.268,0.456,0.384,0.022,15.794300994731
"230","random","timeslice","seedmass",52,37.762171,74.1732922710682,0.27610753209922,0.018,0.838,0.77,0.52,0.87,0.604,6.49789732030914,75.5417543679362,0.139290175472144,0.098,0.536,0.132,0.596,0.026,0.94,13.1642819268592,72.6730095207927,0.584602292428636,0.014,0.956,0.554,0.54,0.786,0.59,6.90255293193864
"231","random","timeslice","seedmass",57,22.400323,99.8316184645281,0.241652119256984,0.018,0.024,0.444,0.032,0.714,0.522,18.6861948225576,97.9387757803046,0.622610118764804,0.136,0.016,0.11,0.248,0.028,0.566,23.8913849303508,100.985167193768,0.135737761978212,0.032,0.022,0.384,0.026,0.546,0.708,19.3784282485963
"232","random","timeslice","seedmass",108,37.60825,189.111507790705,0.000311055366009075,0,0,0.118,0.036,0.244,0.286,33.1169645979016,172.961256813457,0.999585938493642,0.026,0.002,0.356,0.852,0.042,0.272,41.4027539079069,191.321872431904,0.0001030061403486,0.002,0.004,0.1,0.03,0.214,0.268,38.147566425394
"233","random","timeslice","seedmass",126,37.05315,317.96170687642,0.00706354937143779,0.02,0,0.162,0.316,0.424,0.282,38.0185948003067,308.074753971816,0.990712242477186,0.168,0,0.026,0.916,0.056,0.136,52.7660600297891,320.272800283916,0.00222420815137591,0.008,0,0.162,0.256,0.382,0.218,36.4871472244713
"234","random","timeslice","seedmass",90,33.185541,230.832312791595,0.0465225597973392,0.062,0,0.312,0.128,0.368,0.87,20.8726243100147,224.824726936529,0.937981550098079,0.298,0,0.104,0.196,0.286,0.34,32.9367446223358,233.0310378269,0.0154958901045816,0.056,0,0.268,0.168,0.296,0.932,21.9328206306589
"235","random","timeslice","seedmass",83,40.650514,241.739411678378,8.96452104829507e-11,0.018,0,0,0.02,0,0.002,140.856309014354,195.469088994766,0.999999999882993,0.256,0,0,0.322,0.242,0.006,126.022472784527,244.112829869588,2.73618765676348e-11,0.012,0,0,0.016,0,0,139.785155585037
"236","random","timeslice","seedmass",171,41.648256,272.553229532992,5.65281321833804e-05,0,0,0.098,0,0.26,0.046,95.230826544271,252.991846766859,0.999919257345932,0,0,0.078,0.012,0.272,0.014,119.306988578427,274.248801328815,2.42145218848034e-05,0,0,0.066,0,0.216,0.028,101.716812085767
"237","random","timeslice","seedmass",53,22.751002,78.5260339136533,0.0770606236499361,0.014,0.056,0.682,0.556,0.876,0.178,12.0914709076517,73.6206613340981,0.895407320981107,0.07,0.17,0.114,0.892,0.126,0.342,10.5931905740934,80.5845168268498,0.0275320553689574,0.012,0.056,1,0.478,0.61,0.168,15.0561880071705
"238","random","timeslice","seedmass",749,42.760955,1240.15025445464,0.631091257081044,0,0,0.704,0,0.07,0.07,147.184714015215,1243.16218361442,0.139978087869939,0,0,0.612,0.006,0,0.016,189.296980884151,1242.17831712208,0.228930655049018,0,0,0.792,0.004,0.14,0.062,140.965114234561
"239","random","timeslice","seedmass",1156,83.6636720000001,2276.81891526448,5.11690601492458e-44,0,0,0,0.266,0,0,385.572673806464,2077.45652700587,1,0,0,0,0.504,0.574,0,428.486500195891,2278.9906051654,1.72755136851194e-44,0,0,0,0.226,0,0,376.508935416026
"240","Araceae","family","seedmass",20,123.181677,40.511557041977,0.4967577771031,0.186,0.958,0.602,0.04,0.912,0.598,11.4527202837804,42.2762023164764,0.205568620936652,0.556,0.402,0.49,0.032,0.102,0.384,11.5336131590474,41.5357669349445,0.297673601960248,0.22,0.632,0.816,0.016,0.652,0.602,13.3721181133512
"241","Liliaceae","family","seedmass",59,58.448223,29.7543590076751,0.0677178106354034,0,0.004,0.54,0.254,0.638,0.66,29.39806241282,48.6795460035542,5.26199908181517e-06,0,0,0.026,0.816,0.626,0.364,66.7786518085044,24.5097976560052,0.932276927365515,0,0.006,0.524,0.176,0.81,0.756,25.1027557818459
"242","Xanthorrhoeaceae","family","seedmass",39,63.130787,33.8712952926562,0.263891767716015,0.01,0.632,0.924,0.592,0.172,0.508,11.1100423209632,58.2473393804789,1.34349211946866e-06,0.142,0.002,0,0.762,0.882,0.772,32.0153181110878,31.8196227142398,0.736106888791865,0.01,0.608,0.902,0.784,0.612,0.578,10.2328876271734
"243","Amaryllidaceae","family","seedmass",51,67.472541,62.5110558279696,0.0278612258525693,0.002,0.05,0.324,0.084,0.24,0.176,20.0237441796123,55.4300756133227,0.960761380836446,0.01,0,0.1,0.316,0.602,0.264,30.5504490876211,64.3022710762961,0.011377393310985,0,0.042,0.244,0.062,0.188,0.186,19.066078140831
"244","Juncaceae","family","seedmass",60,32.557838,80.3494306783873,0.620165241732437,0.01,0.032,0.406,0.946,0.738,0.554,13.566604799936,96.4118208996624,0.000201652542515562,0.128,0,0.002,0.918,0.38,0.152,85.6673253116175,81.3309920511637,0.379633105725047,0.004,0.068,0.356,0.944,0.912,0.424,13.7535163711461
"245","Cyperaceae","family","seedmass",346,36.281768,452.959310490442,1.52662171386901e-07,0,0,0.446,0.012,0.194,0.076,68.0105988456833,421.56923412512,0.999999795663258,0,0,0.626,0.192,0.024,0.028,80.318890591037,455.125833780674,5.16745710612894e-08,0,0,0.366,0.02,0.188,0.064,82.4062688081
"246","Restionaceae","family","seedmass",63,41.661223,148.00975752547,9.18080070737291e-05,0.012,0.208,0.716,0.004,0.718,0.644,24.751434559772,129.418376740853,0.999879358470096,0.202,0.028,0.014,0.068,0.336,0.936,20.3488035741217,150.326079164374,2.88335228302711e-05,0.01,0.184,0.66,0,0.642,0.644,27.1898164315967
"247","Lauraceae","family","seedmass",49,88.128421,149.246175575041,9.69968679857991e-06,0.19,0.006,0.14,0.498,0.192,0.424,15.7719560993345,126.159379366453,0.999981142689579,0.422,0.002,0.006,0.448,0.156,0.632,27.5523366834255,149.361189337189,9.15762362192896e-06,0.15,0,0.098,0.728,0.196,0.322,18.9292445701991
"248","Annonaceae","family","seedmass",36,45.497681,64.8547685306698,0.000253407578567075,0.036,0.676,0.396,0.984,0.17,0.68,7.15701495698818,48.294435736356,0.999655073659166,0.064,0.232,0.378,0.748,0.754,0.314,7.40747445715491,66.8916788738914,9.15187622665839e-05,0.028,0.784,0.274,0.986,0.116,0.314,8.97451956742281
"249","Proteaceae","family","seedmass",150,92.30532,265.933786705093,0.611251092653038,0,0.058,0.848,0,0.768,0.466,37.95252951104,278.418855330489,0.00118883461916821,0.02,0,0.298,0.002,0.066,0.038,80.8734650510561,266.845060635467,0.387560072727794,0,0.07,0.856,0.002,0.944,0.54,41.5375010668108
"250","Papaveraceae","family","seedmass",25,112.982361,26.0476983779046,0.282343240125787,0.136,0.358,0.86,0.342,0.05,0.804,10.3973899108341,50.3641952770728,1.48087084536202e-06,0.432,0.008,0,0.562,0.556,0.132,32.5328476733099,24.181966684731,0.717655279003368,0.024,0.31,0.758,0.15,0.798,0.368,11.1493087651728
"251","Crassulaceae","family","seedmass",36,70.268059,34.7501067889952,0.0542202704673086,0.002,0.374,0.298,0.082,0.94,0.972,9.63077548775808,37.1026591090826,0.0167228938920051,0.028,0.81,0.028,0.456,0.306,0.84,10.615119420444,29.0678766211357,0.929056835640686,0.008,0.506,0.248,0.046,0.58,0.974,12.1116095949575
"252","Grossulariaceae","family","seedmass",23,45.387852,9.43030856370662,0.0680170981160461,0.004,0.502,0.626,0.59,0.796,0.16,8.2307410174014,4.26881337193822,0.898302357233662,0.002,0.778,0.968,0.676,0.55,0.056,8.24839243129048,10.8359860754713,0.0336805446502916,0.002,0.434,0.868,0.662,0.726,0.388,7.52205372864913
"253","Saxifragaceae","family","seedmass",50,75.253323,65.1466232281221,0.000904792050375283,0.002,0.682,0.312,0.01,0.59,0.482,16.4157278487466,51.1344072793907,0.998303994952155,0.012,0.51,0.246,0.196,0.15,0.63,10.5907388466935,65.4148990901076,0.000791212997469374,0.002,0.628,0.26,0.004,0.518,0.514,18.7087952692322
