"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"25","Rutaceae","family","seedMass",87,45.473184,"0.379100266827475","0.481437094757692","0.139462638414833","OU","23.7603948585085","0","0.613386613386613","0.605394605394605","0.153846153846154","0.017982017982018","0.381618381618382"
"26","Zygophyllaceae","family","seedMass",30,72.82366,"0.457364636830192","0.374381133384103","0.168254229785704","BM","3.91935162698638","0.10989010989011","0.317682317682318","0.381618381618382","0.375624375624376","0.561438561438561","0.639360639360639"
"27","Celastraceae","family","seedMass",53,67.743586,"0.512389318497466","0.299114281319992","0.188496400182542","BM","9.58099486311295","0.0719280719280719","0.651348651348651","0.723276723276723","0.171828171828172","0.707292707292707","0.385614385614386"
"28","Clusiaceae","family","seedMass",55,68.746752,"0.0365664553804728","0.0134513496081262","0.949982195011401","EB","13.3517655986273","0.027972027972028","0.481518481518482","0.105894105894106","0.15984015984016","0.0639360639360639","0.35964035964036"
"29","Salicaceae","family","seedMass",52,78.474374,"0.543263307326739","0.256882087545895","0.199854605127366","BM","7.36048983917875","0.0739260739260739","0.861138861138861","0.871128871128871","0.497502497502497","0.549450549450549","0.769230769230769"
"30","Fagaceae","family","seedMass",70,40.409995,"0.0115406643188344","0.98421378180647","0.00424555387469592","OU","12.6876908756042","0","0.001998001998002","0.201798201798202","0.387612387612388","0.843156843156843","0.909090909090909"
"31","Betulaceae","family","seedMass",50,27.279624,"0.569485833923837","0.209501820490914","0.221012345585249","BM","14.5386540892962","0.043956043956044","0.895104895104895","0.351648351648352","0.641358641358641","0.307692307692308","0.615384615384615"
"32","Rhamnaceae","family","seedMass",80,76.179949,"0.337298457510934","0.538617655651847","0.124083886837219","OU","28.4563945511668","0.003996003996004","0.311688311688312","0.863136863136863","0.035964035964036","0.0619380619380619","0.011988011988012"
"33","Moraceae","family","seedMass",72,54.796729,"0.379335467552002","0.48111609107333","0.139548441374668","OU","24.0183513538023","0.111888111888112","0.487512487512487","0.943056943056943","0.255744255744256","0.245754245754246","0.015984015984016"
"34","Rosaceae","family","seedMass",302,82.294052,"2.32068800228211e-07","0.999999682562465","8.53687346948972e-08","OU","66.6111921418435","0","0.0719280719280719","0.001998001998002","0.00599400599400599","0.611388611388611","0.131868131868132"
"35","Fabaceae","family","seedMass",1284,69.142536,"1.95557048205767e-23","1","7.19321514064463e-24","OU","327.688485869619","0","0","0","0","0.0679320679320679","0"
"36","Polygonaceae","family","seedMass",81,54.014408,"0.563670747058856","0.228966706104396","0.207362546836748","BM","10.4044899768756","0","0.015984015984016","0.519480519480519","0.605394605394605","0.1998001998002","0.857142857142857"
"37","Aizoaceae","family","seedMass",72,42.783637,"1.84088929534817e-11","0.999999999974819","6.77213368500487e-12","OU","13.2425070198596","0.573426573426573","0.20979020979021","0.21978021978022","0.789210789210789","0.571428571428571","0.46953046953047"
"38","Caryophyllaceae","family","seedMass",132,50.604915,"1.26351842147984e-05","0.999982716649136","4.6481666495878e-06","OU","15.6258004319151","0","0.01998001998002","0.567432567432567","0.569430569430569","0.147852147852148","0.327672327672328"
"39","Amaranthaceae","family","seedMass",170,38.449259,"2.45787535368044e-17","1","9.04184140741678e-18","OU","31.3980575579379","0.00599400599400599","0.759240759240759","0.003996003996004","0.523476523476524","0.395604395604396","0.011988011988012"
"40","Cornaceae","family","seedMass",21,65.418614,"0.45800300476544","0.168489080217339","0.373507915017221","BM","11.1183489062919","0.021978021978022","0.255744255744256","0.501498501498502","0.105894105894106","0.051948051948052","0.749250749250749"
"41","Loasaceae","family","seedMass",27,64.963493,"0.51592255759045","0.294280696231585","0.189796746177965","BM","9.01843592315713","0.217782217782218","0.2997002997003","0.765234765234765","0.195804195804196","0.53946053946054","0.00999000999000999"
"42","Primulaceae","family","seedMass",73,54.03985,"0.009253329670204","0.00340402383835682","0.987342646491439","EB","30.1830482988854","0.00799200799200799","0.215784215784216","0.471528471528472","0.00599400599400599","0.815184815184815","0.025974025974026"
"43","Aquifoliaceae","family","seedMass",22,65.833042,"0.00713318433162348","0.990242679546749","0.00262413612162718","OU","2.53475633811837","0.211788211788212","0.285714285714286","0.543456543456543","0.559440559440559","0.739260739260739","0.527472527472527"
"44","Adoxaceae","family","seedMass",29,75.38513,"0.521195377094214","0.28706830168673","0.191736321219055","BM","7.92126380688964","0.01998001998002","0.181818181818182","0.213786213786214","0.281718281718282","0.733266733266733","0.505494505494505"
"45","Caprifoliaceae","family","seedMass",66,65.603129,"0.000497788799793949","0.999319087832738","0.000183123367468467","OU","23.2507309206846","0.0599400599400599","0.779220779220779","0.00799200799200799","0.567432567432567","0.653346653346653","0.125874125874126"
"46","Araliaceae","family","seedMass",46,65.500479,"0.552604398545081","0.244104386842088","0.203291214612831","BM","7.01541991670308","0.043956043956044","0.107892107892108","0.849150849150849","0.121878121878122","0.40959040959041","0.569430569430569"
"47","Pittosporaceae","family","seedMass",21,56.777854,"0.501889086218391","0.184633593215082","0.313477320566527","BM","19.3792856840786","0.041958041958042","0.173826173826174","0.163836163836164","0.935064935064935","0.0599400599400599","0"
"48","Apiaceae","family","seedMass",210,71.44811,"0.000118413133653691","0.999838025941583","4.35609247634594e-05","OU","34.7932156218985","0","0","0.203796203796204","0.551448551448551","0.0699300699300699","0.213786213786214"
"49","Boraginaceae","family","seedMass",150,55.795213,"0.251163209442505","0.656440334475321","0.0923964560821735","OU","18.4261286381925","0","0.027972027972028","0.46953046953047","0.797202797202797","0.373626373626374","0.293706293706294"
"50","Apocynaceae","family","seedMass",108,37.608252,"9.33834415300387e-05","0.999872263082395","3.43534760751565e-05","OU","19.9294068427226","0","0.185814185814186","0.503496503496504","0.869130869130869","0.15984015984016","0.305694305694306"
"51","Solanaceae","family","seedMass",178,47.02765,"5.39202274719228e-08","0.99999992624393","1.98358422690638e-08","OU","55.3685396036326","0","0.183816183816184","0.0799200799200799","0.011988011988012","0.693306693306693","0.00599400599400599"
"52","Acanthaceae","family","seedMass",26,36.720997,"0.377563793228653","0.138897039823715","0.483539166947633","EB","5.30421893195194","0.24975024975025","0.187812187812188","0.1998001998002","0.413586413586414","0.181818181818182","0.243756243756244"
"53","Phrymaceae","family","seedMass",24,27.406262,"0.180304211537019","0.753365756883097","0.0663300315798838","OU","6.83497368974468","0.0939060939060939","0.297702297702298","0.0959040959040959","0.617382617382617","0.983016983016983","0.443556443556444"
"54","Verbenaceae","family","seedMass",28,28.391034,"0.20982797558021","0.712980909276654","0.0771911151431359","OU","10.6478035368971","0.383616383616384","0.619380619380619","0.233766233766234","0.137862137862138","0.693306693306693","0.381618381618382"
"55","Bignoniaceae","family","seedMass",37,24.82755,"0.00138060488703392","0.998111500782525","0.000507894330440885","OU","10.7790833602391","0.377622377622378","0.663336663336663","0.853146853146853","0.509490509490509","0.771228771228771","0.01998001998002"
"56","Scrophulariaceae","family","seedMass",60,37.457896,"0.551174638473283","0.202765146419838","0.246060215106879","BM","18.7398391105341","0.0939060939060939","0.753246753246753","0.03996003996004","0.00999000999000999","0.0559440559440559","0.549450549450549"
