"","taxa","rank","trait","size","age","aic.bm","aicw.bm","m.pic.ml.bm","v.pic.ml.bm","s.var.ml.bm","s.anc.ml.bm","s.hgt.ml.bm","d.ks.ml.bm","mv.ml.bm","mean.diag.bm","aic.ou","aicw.ou","m.pic.ml.ou","v.pic.ml.ou","s.var.ml.ou","s.anc.ml.ou","s.hgt.ml.ou","d.ks.ml.ou","mv.ml.ou","mean.diag.ou","aic.eb","aicw.eb","m.pic.ml.eb","v.pic.ml.eb","s.var.ml.eb","s.anc.ml.eb","s.hgt.ml.eb","d.ks.ml.eb","mv.ml.eb","mean.diag.eb"
"out.ml285","random","timeslice","SLA",24,137.914321,-27.0450509722657,0.575055981772651,0,0.255744255744256,0.481518481518482,0.243756243756244,0.197802197802198,0.513486513486514,11.714641801922,0,-25.0616438264209,0.213313693715767,0,0.243756243756244,0.537462537462537,0.223776223776224,0.21978021978022,0.583416583416583,11.5266323783355,0,-25.0457981814648,0.211630324511581,0,0.271728271728272,0.48951048951049,0.223776223776224,0.181818181818182,0.521478521478521,12.8762980559959,0
"out.ml286","Salicaceae","family","SLA",37,78.474372,-73.0338962572003,0.459236348078865,0,0.255744255744256,0.979020979020979,0.317682317682318,0.623376623376623,0.905094905094905,17.7336709607013,0,-71.9744365234582,0.270381825960573,0,0.233766233766234,0.995004995004995,0.297702297702298,0,0.903096903096903,NA,0,-71.9744365234581,0.270381825960562,0,0.255744255744256,0.973026973026973,0.317682317682318,0,0.763236763236763,NA,0
"out.ml287","random","timeslice","SLA",1754,136.900467,-395.757944173785,2.08195315037403e-18,0,0,0.0539460539460539,0.10989010989011,0.013986013986014,0.02997002997003,586.504981949408,0,-477.184394586135,1,0,0,0,0.0739260739260739,0,0.00599400599400599,631.215856085642,0,-393.874042224333,8.11683732239448e-19,0,0,0.0619380619380619,0.11988011988012,0.00599400599400599,0.021978021978022,518.137523349162,0
"out.ml288","random","timeslice","SLA",21,81.543683,-5.16734081138331,0.575841863952139,0.00799200799200799,0.291708291708292,0.323676323676324,0.003996003996004,0.263736263736264,0.491508491508492,20.8041289253974,4,-3.1688913039056,0.212004675254009,0,0.267732267732268,0.281718281718282,0.00599400599400599,0.28971028971029,0.40959040959041,21.2904790806284,0,-3.17029441782281,0.212153460793852,0.003996003996004,0.255744255744256,0.323676323676324,0.00599400599400599,0.315684315684316,0.351648351648352,19.6716525264961,2
"out.ml289","random","timeslice","SLA",26,71.218268,-5.85209098994079,0.461194964254496,0.001998001998002,0.24975024975025,0.895104895104895,0.265734265734266,0.32967032967033,0.709290709290709,9.88569444521708,1,-5.40668311166155,0.369118204597744,0.001998001998002,0.307692307692308,0.515484515484515,0.33966033966034,0.233766233766234,0.951048951048951,8.20553599619743,1,-3.85235838774793,0.16968683114776,0,0.251748251748252,0.935064935064935,0.251748251748252,0.367632367632368,0.791208791208791,9.40543144431149,0
"out.ml290","random","timeslice","SLA",22,81.396066,-42.329501980759,0.604117537576748,0,0.725274725274725,0.669330669330669,0.771228771228771,0.503496503496504,0.345654345654346,10.9085720340343,0,-39.8355422586091,0.173606095956229,0,0.803196803196803,0.659340659340659,0.731268731268731,0,0.421578421578422,NA,0,-40.3298074287388,0.222276366467023,0,0.681318681318681,0.641358641358641,0.777222777222777,0.501498501498502,0.367632367632368,10.3619380932269,0
"out.ml291","random","timeslice","SLA",283,90.169528,-5.04265493890795,2.00302513507758e-07,0,0,0.487512487512487,0,0.947052947052947,0.133866133866134,128.28062626423,0,-35.8895284822093,0.999999726013055,0,0,0.181818181818182,0,0.0579420579420579,0.0679320679320679,133.214273269892,0,-3.04258042820811,7.36844315440522e-08,0,0,0.45954045954046,0,0.991008991008991,0.127872127872128,125.633465941865,0
"out.ml292","random","timeslice","SLA",39,87.653722,11.8806062312139,0.000122670840718248,0,0.015984015984016,0.345654345654346,0.041958041958042,0.861138861138861,0.987012987012987,21.4786248937464,0,-6.13106993814326,0.999832217307698,0.001998001998002,0.103896103896104,0.955044955044955,0.21978021978022,0.623376623376623,0.895104895104895,13.3959677233537,1,13.8813255911429,4.51118515838805e-05,0,0.021978021978022,0.325674325674326,0.033966033966034,0.951048951048951,0.959040959040959,21.393033629406,0
"out.ml293","random","timeslice","SLA",57,81.886174,-37.3183409037565,0.29386820255847,0,0.901098901098901,0.123876123876124,0.589410589410589,0.571428571428571,0.505494505494505,19.9024131145276,0,-38.7421850308638,0.598875326123035,0,0.977022977022977,0.0959040959040959,0.671328671328671,0.33966033966034,0.48951048951049,20.6488848898495,0,-35.3025239405823,0.107256471318496,0,0.895104895104895,0.0999000999000999,0.623376623376623,0.617382617382617,0.443556443556444,20.4396082263145,0
"out.ml294","random","timeslice","SLA",64,88.200516,-33.2743390133044,0.571644521304353,0,0.127872127872128,0.193806193806194,0.919080919080919,0.155844155844156,0.421578421578422,22.2198394272696,0,-31.3577343868169,0.219250523447374,0,0.0759240759240759,0.181818181818182,0.917082917082917,0.0819180819180819,0.513486513486514,24.1661828770439,0,-31.2629769577013,0.209104955248274,0,0.0999000999000999,0.285714285714286,0.909090909090909,0.187812187812188,0.285714285714286,21.9999137325163,0
